Name,Profile ID,Book ID,Title,Author,Status,Created,Updated,Creation Origin
Johannes ,336098,2183,Atlas Shrugged,Ayn Rand,did_not_finish,2025-07-11 21:11:25.394 +0000,2025-07-11 21:11:25.394 +0000,uploaded_ebook
Johannes ,336098,2184,Fountainhead,Ayn Rand,want_to_read,2025-07-11 21:11:25.442 +0000,2025-07-11 21:11:25.442 +0000,uploaded_ebook
Johannes ,336098,2185,Building Knowledge Graphs,Jim Webber + Jesus Barrasa,did_not_finish,2025-07-11 21:11:25.480 +0000,2025-07-11 21:11:25.480 +0000,uploaded_ebook
Johannes ,336098,2186,Serverless Apps on Cloudflare,Ashley Peacock,did_not_finish,2025-07-11 21:11:25.523 +0000,2025-07-11 21:11:25.523 +0000,uploaded_ebook
Johannes ,336098,2187,AI Engineering,Chip Huyen,did_not_finish,2025-07-11 21:11:25.565 +0000,2025-07-11 21:11:25.565 +0000,uploaded_ebook
Johannes ,336098,2188,Beginning of Infinity,David Deutsch,did_not_finish,2025-07-11 21:11:25.609 +0000,2025-07-11 21:11:25.609 +0000,uploaded_ebook
Johannes ,336098,2192,Rise and Fall of D.O.D.O.,Neal Stephenson + Nicole Galland,did_not_finish,2025-07-11 21:11:25.783 +0000,2025-07-11 21:11:25.783 +0000,uploaded_ebook
Johannes ,336098,2196,Boaters of London,Ben Bowles,did_not_finish,2025-07-11 21:11:25.949 +0000,2025-07-11 21:11:25.949 +0000,uploaded_ebook
Johannes ,336098,2204,Reactive Design Patterns,Roland Kuhn + Roland Kuhn + Jamie M Allen + Jamie Allen + Brian Hanafee,did_not_finish,2025-07-11 21:11:26.357 +0000,2025-07-11 21:11:26.357 +0000,uploaded_ebook
Johannes ,336098,2208,Why Greatness Cannot Be Planned,Kenneth O Stanley + Joel Lehman,did_not_finish,2025-07-11 21:11:26.536 +0000,2025-07-11 21:11:26.537 +0000,uploaded_ebook
Johannes ,336098,2209,Dark Archive,Genevieve Cogman,want_to_read,2025-07-11 21:11:26.578 +0000,2025-07-11 21:11:26.578 +0000,uploaded_ebook
Johannes ,336098,2210,Oathbringer,Brandon Sanderson,did_not_finish,2025-07-11 21:11:26.618 +0000,2025-07-11 21:11:26.618 +0000,uploaded_ebook
Johannes ,336098,2211,Onyx Storm,Rebecca Yarros,did_not_finish,2025-07-11 21:11:26.664 +0000,2025-07-11 21:11:26.664 +0000,uploaded_ebook
Johannes ,336098,2212,Functional Design and Architecture,Alexander Granin,did_not_finish,2025-07-11 21:11:26.708 +0000,2025-07-11 21:11:26.708 +0000,uploaded_ebook
Johannes ,336098,2217,Dark Archive,Genevieve Cogman,did_not_finish,2025-07-11 21:11:26.921 +0000,2025-07-11 21:11:26.921 +0000,uploaded_ebook
Johannes ,336098,2219,Clear Thinking,Shane Parrish,did_not_finish,2025-07-11 21:11:27.009 +0000,2025-07-11 21:11:27.009 +0000,bookstore_ebook
Johannes ,336098,2220,Build a Large Language Model (From Scratch),Sebastian Raschka,did_not_finish,2025-07-11 21:11:27.053 +0000,2025-07-11 21:11:27.053 +0000,bookstore_ebook
