Name,Profile ID,Book ID,Title,Author,Status,Created,Updated,Creation Origin
Kait ,1322922,1055,The Cold Start Problem,Andrew Chen,did_not_finish,2025-07-11 21:09:57.368 +0000,2025-07-11 21:09:57.368 +0000,uploaded_ebook
Kait ,1322922,1056,The God of the Woods,Liz Moore,finished,2025-07-11 21:09:57.390 +0000,2025-07-11 21:09:57.390 +0000,uploaded_ebook
Kait ,1322922,1057,Abundance,Ezra Klein + Derek Thompson,deleted,2025-07-11 21:09:57.424 +0000,2025-10-20 16:47:14.373 +0000,uploaded_ebook
Kait ,1322922,1060,Mind Magic,James Doty,finished,2025-07-11 21:09:57.499 +0000,2025-07-11 21:09:57.499 +0000,uploaded_ebook
Kait ,1322922,1061,You Are a Magnet,Amber Lyon,did_not_finish,2025-07-11 21:09:57.537 +0000,2025-08-22 19:34:27.396 +0000,uploaded_ebook
Kait ,1322922,1062,Tiny Experiments,Anne-Laure Le Cunff,deleted,2025-07-11 21:09:57.574 +0000,2025-10-20 16:47:12.112 +0000,uploaded_ebook
Kait ,1322922,1063,The Book of Beautiful Questions,Warren Berger,want_to_read,2025-07-11 21:09:57.612 +0000,2025-07-11 21:09:57.612 +0000,uploaded_ebook
Kait ,1322922,1064,Creativity,Mihaly Csikszentmihalyi + Mihaly Csikszentmihalyi,want_to_read,2025-07-11 21:09:57.647 +0000,2025-09-15 18:18:19.376 +0000,uploaded_ebook
Kait ,1322922,1065,Good Business,Mihaly Csikszentmihalyi,want_to_read,2025-07-11 21:09:57.685 +0000,2025-07-11 21:09:57.685 +0000,uploaded_ebook
Kait ,1322922,1066,Flow,Mihaly Csikszentmihalyi + Mihaly Csikszentmihalyi,deleted,2025-07-11 21:09:57.722 +0000,2025-09-02 16:44:58.282 +0000,uploaded_ebook
Kait ,1322922,1067,Feel-Good Productivity,Ali Abdaal,finished,2025-07-11 21:09:57.743 +0000,2025-07-11 21:09:57.743 +0000,uploaded_ebook
Kait ,1322922,1068,Careless People,Sarah Wynn-Williams,finished,2025-07-11 21:09:57.763 +0000,2025-07-11 21:09:57.763 +0000,uploaded_ebook
Kait ,1322922,1070,The Creative Act,Rick Rubin,deleted,2025-07-11 21:09:57.822 +0000,2025-10-20 16:47:07.125 +0000,uploaded_ebook
Kait ,1322922,1071,Book Wars,John B Thompson,want_to_read,2025-07-11 21:09:57.859 +0000,2025-07-11 21:09:57.859 +0000,uploaded_ebook
Kait ,1322922,1072,Deep Work,Cal Newport,deleted,2025-07-11 21:09:57.880 +0000,2025-09-02 16:18:19.905 +0000,bookstore_ebook
Kait ,1322922,1073,Heart of Innovation,Merrick Furst + Mark Wegman + Matt Chanoff + Daniel Sabbah,want_to_read,2025-07-11 21:09:57.919 +0000,2025-07-11 21:09:57.919 +0000,bookstore_ebook
Kait ,1322922,1074,The Perfectionist's Guide to Losing Control,Katherine Morgan Schafler,did_not_finish,2025-07-11 21:09:57.953 +0000,2025-08-22 19:34:23.489 +0000,uploaded_ebook
Kait ,1322922,1075,The Fifth Season,N. K. Jemisin,finished,2025-07-11 21:09:57.989 +0000,2025-07-11 21:09:57.989 +0000,uploaded_ebook
Kait ,1322922,1076,Mind Gym,Gary Mack + David Casstevens,want_to_read,2025-07-11 21:09:58.026 +0000,2025-07-11 21:09:58.026 +0000,uploaded_ebook
Kait ,1322922,1077,My Friends,Fredrik Backman,deleted,2025-07-11 21:09:58.059 +0000,2025-10-20 16:46:59.281 +0000,uploaded_ebook
Kait ,1322922,1078,Expecting Adam,Martha Beck,finished,2025-07-11 21:09:58.095 +0000,2025-10-23 15:11:15.913 +0000,uploaded_ebook
Kait ,1322922,1079,Alchemy,Rory Sutherland,finished,2025-07-11 21:09:58.132 +0000,2025-09-23 03:21:35.919 +0000,uploaded_ebook
Kait ,1322922,1080,The Way of Integrity,Martha Beck,want_to_read,2025-07-11 21:09:58.167 +0000,2025-07-11 21:09:58.167 +0000,uploaded_ebook
Kait ,1322922,1081,American War,Omar El Akkad,want_to_read,2025-07-11 21:09:58.203 +0000,2025-07-11 21:09:58.203 +0000,uploaded_ebook
Kait ,1322922,1083,Replay,Ken Grimwood,deleted,2025-07-11 21:09:58.260 +0000,2025-09-02 16:17:15.011 +0000,bookstore_ebook
Kait ,1322922,1084,Elite Minds,Stan Beecham,want_to_read,2025-07-11 21:09:58.301 +0000,2025-07-11 21:09:58.301 +0000,uploaded_ebook
Kait ,1322922,1085,Atomic Habits,James Clear,finished,2025-07-11 21:09:58.340 +0000,2025-09-13 14:07:52.591 +0000,uploaded_ebook
Kait ,1322922,1086,Ordinary Magic,Gregory M Walton,want_to_read,2025-07-11 21:09:58.390 +0000,2025-07-11 21:09:58.390 +0000,uploaded_ebook
Kait ,1322922,1087,Go Higher,Sean Anderson,want_to_read,2025-07-11 21:09:58.425 +0000,2025-07-11 21:09:58.425 +0000,uploaded_ebook
Kait ,1322922,3674,Meditations for Mortals,Oliver Burkeman,deleted,2025-07-11 21:41:03.855 +0000,2025-08-21 22:02:20.007 +0000,uploaded_ebook
Kait ,1322922,3763,Beyond Anxiety,Martha Beck,want_to_read,2025-07-13 18:27:04.523 +0000,2025-07-13 18:27:04.523 +0000,uploaded_ebook
Kait ,1322922,3764,The Champion's Mind,Jim Afremow,want_to_read,2025-07-13 18:27:09.431 +0000,2025-07-13 18:27:09.431 +0000,uploaded_ebook
Kait ,1322922,3765,Activate Your Greatness,Alex Toussaint,want_to_read,2025-07-13 18:27:14.311 +0000,2025-07-13 18:27:14.311 +0000,uploaded_ebook
Kait ,1322922,3766,Click,Jake Knapp,finished,2025-07-13 18:28:04.462 +0000,2025-09-02 16:44:51.237 +0000,uploaded_ebook
Kait ,1322922,3767,Hidden Potential,Adam Grant,want_to_read,2025-07-13 18:28:06.321 +0000,2025-07-13 18:28:06.321 +0000,uploaded_ebook
Kait ,1322922,3768,Project Hail Mary,Andy Weir,finished,2025-07-13 18:29:48.030 +0000,2025-07-13 18:29:48.030 +0000,uploaded_ebook
Kait ,1322922,3784,What We Value: The Neuroscience of Choice and Change,Emily Falk,did_not_finish,2025-07-14 20:10:08.698 +0000,2025-09-29 19:07:39.551 +0000,uploaded_ebook
Kait ,1322922,3785,"Me, But Better",Olga Khazan,deleted,2025-07-14 20:10:11.710 +0000,2025-10-20 16:46:52.233 +0000,uploaded_ebook
Kait ,1322922,3981,Sandwich,Catherine Newman + Catherine Newman,finished,2025-07-21 21:47:49.088 +0000,2025-08-20 20:30:46.728 +0000,bookstore_ebook
Kait ,1322922,3982,The Book of Alchemy,Suleika Jaouad,deleted,2025-07-21 22:11:08.988 +0000,2025-08-21 22:02:21.656 +0000,uploaded_ebook
Kait ,1322922,3983,The Book of Alchemy,Suleika Jaouad,currently_reading,2025-07-21 22:11:35.358 +0000,2025-09-29 19:08:06.534 +0000,uploaded_ebook
Kait ,1322922,4197,Wild Dark Shore,Charlotte McConaghy,finished,2025-07-28 23:04:19.096 +0000,2025-08-20 20:30:40.862 +0000,bookstore_ebook
Kait ,1322922,4198,"Me, But Better",Olga Khazan,deleted,2025-07-28 23:04:23.924 +0000,2025-10-20 16:46:49.726 +0000,bookstore_ebook
Kait ,1322922,4585,Loyalty Programs,Philip Shelper + Stacey Lyons + Scott Harrison,finished,2025-08-05 19:18:03.527 +0000,2025-08-20 20:30:36.905 +0000,bookstore_ebook
Kait ,1322922,6070,Fourth Wing,Rebecca Yarros,want_to_read,2025-08-14 12:09:56.593 +0000,2025-08-14 12:09:56.593 +0000,bookstore_ebook
Kait ,1322922,7336,The Tainted Cup,Robert Jackson Bennett,finished,2025-09-02 16:18:54.313 +0000,2025-09-29 19:08:00.772 +0000,bookwise
Kait ,1322922,7337,Book Wars,John B Thompson,want_to_read,2025-09-02 16:19:05.591 +0000,2025-09-02 16:19:05.591 +0000,bookwise
Kait ,1322922,7339,All American Boys,Jason Reynolds + Brendan Kiely,deleted,2025-09-02 16:23:20.709 +0000,2025-09-02 16:32:27.640 +0000,kindle
Kait ,1322922,7348,Eat Like a Fish,Bren Smith,deleted,2025-09-02 16:23:21.927 +0000,2025-09-02 16:31:55.859 +0000,kindle
Kait ,1322922,7349,Emergent Strategy,adrienne maree brown,want_to_read,2025-09-02 16:23:22.050 +0000,2025-10-20 16:45:16.077 +0000,kindle
Kait ,1322922,7350,The End of Policing,Alex S. Vitale,deleted,2025-09-02 16:23:22.165 +0000,2025-09-02 16:31:50.924 +0000,kindle
Kait ,1322922,7351,Epidemic,Jonathan Engel,deleted,2025-09-02 16:23:22.302 +0000,2025-09-02 16:31:48.733 +0000,kindle
Kait ,1322922,7353,Four Thousand Weeks,Oliver Burkeman,finished,2025-09-02 16:23:22.484 +0000,2025-09-02 16:31:44.035 +0000,kindle
Kait ,1322922,7354,Good To Great And The Social Sectors,Jim Collins,finished,2025-09-02 16:23:22.601 +0000,2025-09-02 16:31:39.812 +0000,kindle
Kait ,1322922,7364,The Mars Room,Rachel Kushner,finished,2025-09-02 16:23:23.820 +0000,2025-09-02 16:30:53.518 +0000,kindle
Kait ,1322922,7365,Motherhood,Lisa Marchiano,finished,2025-09-02 16:23:23.997 +0000,2025-09-02 16:30:50.609 +0000,kindle
Kait ,1322922,7367,No Hard Feelings,Liz Fosslien + Mollie West Duffy,finished,2025-09-02 16:23:24.204 +0000,2025-09-02 16:30:46.476 +0000,kindle
Kait ,1322922,7373,Sense and Respond,Jeff Gothelf + Josh Seiden,finished,2025-09-02 16:23:24.855 +0000,2025-09-02 16:30:30.525 +0000,kindle
Kait ,1322922,7379,At the Center of All Beauty: Solitude and the Creative Life,Fenton Johnson,finished,2025-09-02 16:23:25.509 +0000,2025-09-02 16:30:06.818 +0000,kindle
Kait ,1322922,7380,Catch and Kill,Ronan Farrow,finished,2025-09-02 16:23:25.628 +0000,2025-09-02 16:30:04.529 +0000,kindle
Kait ,1322922,7381,Continuous Discovery Habits,Teresa Lopez + Teresa Neumann,finished,2025-09-02 16:23:25.745 +0000,2025-09-02 16:30:02.470 +0000,kindle
Kait ,1322922,7382,Discovery-Driven Growth,Rita Gunther McGrath + Ian C. Macmillan,finished,2025-09-02 16:23:25.863 +0000,2025-09-02 16:30:00.212 +0000,kindle
Kait ,1322922,7384,Empowered,Marty Cagan,deleted,2025-09-02 16:23:26.092 +0000,2025-10-20 16:45:59.683 +0000,kindle
Kait ,1322922,7386,Harry Potter and the Sorcerer's Stone,J K Rowling,finished,2025-09-02 16:23:26.311 +0000,2025-09-02 16:29:28.960 +0000,kindle
Kait ,1322922,7387,How to Be an Antiracist,Ibram X Kendi,finished,2025-09-02 16:23:26.348 +0000,2025-09-02 16:29:26.813 +0000,kindle
Kait ,1322922,7390,It Doesn't Have to Be Crazy at Work,Jason Fried + David Heinemeier Hansson,finished,2025-09-02 16:23:27.188 +0000,2025-09-02 16:29:19.527 +0000,kindle
Kait ,1322922,7393,My Brilliant Friend,Elena Ferrante,finished,2025-09-02 16:23:27.464 +0000,2025-09-02 16:29:08.614 +0000,kindle
Kait ,1322922,7396,"Sacred Earth, Sacred Soul",J Philip Newell,finished,2025-09-02 16:23:27.878 +0000,2025-10-20 16:46:11.248 +0000,kindle
Kait ,1322922,7397,Shorter,Alex Pang,deleted,2025-09-02 16:23:27.984 +0000,2025-10-20 16:46:13.844 +0000,kindle
Kait ,1322922,7398,So You Want to Talk About Race,Ijeoma Oluo,deleted,2025-09-02 16:23:28.106 +0000,2025-09-02 16:29:00.624 +0000,kindle
Kait ,1322922,7402,The Hate U Give,Angie Thomas,deleted,2025-09-02 16:23:28.571 +0000,2025-09-02 16:28:49.106 +0000,kindle
Kait ,1322922,7403,The Leader Lab,Tania Luna + LeeAnn Renninger,finished,2025-09-02 16:23:28.684 +0000,2025-09-02 16:28:46.809 +0000,kindle
Kait ,1322922,7405,Overstory: A Novel,Richard Powers,finished,2025-09-02 16:23:28.892 +0000,2025-09-02 16:28:41.756 +0000,kindle
Kait ,1322922,7406,The Rise of the Creative Class,Richard Florida,finished,2025-09-02 16:23:28.999 +0000,2025-09-02 16:28:39.414 +0000,kindle
Kait ,1322922,7407,Story of a New Name,Elena Ferrante,finished,2025-09-02 16:23:29.031 +0000,2025-09-02 16:28:31.920 +0000,kindle
Kait ,1322922,7408,Story of the Lost Child,Elena Ferrante,finished,2025-09-02 16:23:29.067 +0000,2025-09-02 16:28:29.497 +0000,kindle
Kait ,1322922,7411,This Changes Everything,Naomi Klein,finished,2025-09-02 16:23:29.433 +0000,2025-09-02 16:28:06.938 +0000,kindle
Kait ,1322922,7412,Those Who Leave and Those Who Stay,Elena Ferrante,finished,2025-09-02 16:23:29.559 +0000,2025-09-02 16:28:26.677 +0000,kindle
Kait ,1322922,7413,Trick Mirror,Jia Tolentino,finished,2025-09-02 16:23:29.670 +0000,2025-09-02 16:27:15.795 +0000,kindle
Kait ,1322922,7414,Never Let Me Go,Kazuo Ishiguro,want_to_read,2025-09-02 16:34:03.966 +0000,2025-09-02 16:34:03.966 +0000,bookwise
Kait ,1322922,7415,Klara and the Sun,Kazuo Ishiguro,want_to_read,2025-09-02 16:34:16.090 +0000,2025-09-02 16:34:16.090 +0000,bookwise
Kait ,1322922,7416,Why Greatness Cannot Be Planned,Kenneth O Stanley + Joel Lehman,want_to_read,2025-09-02 16:34:50.732 +0000,2025-09-02 16:34:50.732 +0000,bookwise
Kait ,1322922,7417,The Will of the Many,James Islington,want_to_read,2025-09-02 16:35:29.222 +0000,2025-09-02 16:35:29.222 +0000,bookwise
Kait ,1322922,7418,Isola,Allegra Goodman,want_to_read,2025-09-02 17:05:52.399 +0000,2025-09-02 17:05:52.399 +0000,bookwise
Kait ,1322922,8266,Flow,Mihaly Csikszentmihalyi + Mihaly Csikszentmihalyi,finished,2025-09-04 17:26:21.745 +0000,2025-10-20 16:46:39.980 +0000,bookstore_ebook
Kait ,1322922,8315,The Great Believers,Rebecca Makkai,want_to_read,2025-09-08 19:27:54.723 +0000,2025-09-08 19:27:54.723 +0000,bookwise
Kait ,1322922,8316,The Heaven & Earth Grocery Store,James McBride + James McBride,want_to_read,2025-09-08 19:28:19.450 +0000,2025-09-08 19:28:19.450 +0000,bookwise
Kait ,1322922,8317,Your Brain on Art,Susan Magsamen + Ivy Ross,want_to_read,2025-09-08 19:31:11.896 +0000,2025-09-08 19:31:11.896 +0000,bookwise
Kait ,1322922,8336,How to Have a Good Day,Caroline Webb + Caroline Webb,finished,2025-09-10 16:36:43.726 +0000,2025-10-20 16:46:29.759 +0000,uploaded_ebook
Kait ,1322922,8339,"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P Feynman,want_to_read,2025-09-10 16:49:47.813 +0000,2025-09-10 16:49:47.813 +0000,bookwise
Kait ,1322922,8340,The Pleasure of Finding Things Out,Richard P Feynman,want_to_read,2025-09-10 16:49:47.816 +0000,2025-09-10 16:49:47.816 +0000,bookwise
Kait ,1322922,8355,How to Begin,Michael Bungay Stanier,want_to_read,2025-09-11 20:03:32.066 +0000,2025-09-11 20:03:32.066 +0000,bookwise
Kait ,1322922,8390,The Tainted Cup,Robert Jackson Bennett,finished,2025-09-11 22:28:10.491 +0000,2025-09-22 15:56:08.564 +0000,uploaded_ebook
Kait ,1322922,8393,Say Nothing,Patrick Radden Keefe,want_to_read,2025-09-12 03:11:22.107 +0000,2025-09-12 03:11:22.107 +0000,bookwise
Kait ,1322922,8431,"Co-Active Coaching, Fourth Edition",Henry House + Karen Kimsey-House + Laura Whitworth + Phillip Sandhal,want_to_read,2025-09-12 21:04:35.610 +0000,2025-09-12 21:04:35.610 +0000,bookstore_ebook
Kait ,1322922,8432,The Inner Game of Tennis,W Timothy Gallwey,want_to_read,2025-09-12 21:09:56.895 +0000,2025-09-12 21:09:56.895 +0000,uploaded_ebook
Kait ,1322922,9080,Notes to John,Joan Didion,want_to_read,2025-09-17 17:38:28.128 +0000,2025-09-17 17:38:28.128 +0000,bookwise
Kait ,1322922,9081,Year of Magical Thinking,Joan Didion,want_to_read,2025-09-17 17:38:28.333 +0000,2025-09-17 17:38:28.333 +0000,bookwise
Kait ,1322922,9093,The Will of the Many,James Islington,want_to_read,2025-09-18 22:06:14.337 +0000,2025-09-18 22:06:14.337 +0000,bookstore_ebook
Kait ,1322922,9256,Awareness,Mello,want_to_read,2025-09-20 20:24:20.412 +0000,2025-09-20 20:24:20.412 +0000,bookwise
Kait ,1322922,9274,Drop of Corruption,Robert Bennett,currently_reading,2025-09-22 02:59:03.950 +0000,2025-09-23 17:29:39.263 +0000,uploaded_ebook
Kait ,1322922,9293,How to Think Like a Woman,Regan Penaluna,want_to_read,2025-09-22 18:34:11.624 +0000,2025-09-22 18:34:11.624 +0000,bookwise
Kait ,1322922,9294,Mistborn,Brandon Sanderson,want_to_read,2025-09-22 18:40:23.287 +0000,2025-09-22 18:40:23.287 +0000,bookwise
Kait ,1322922,10652,Happy City: Transforming Our Lives Through Urban Design,Charles Montgomery,want_to_read,2025-09-26 22:17:26.352 +0000,2025-09-26 22:17:26.352 +0000,bookwise
Kait ,1322922,11708,Art Work,Sally Mann,want_to_read,2025-09-29 20:15:22.355 +0000,2025-09-29 20:15:22.355 +0000,bookwise
Kait ,1322922,11806,Hold Still,Sally Mann,want_to_read,2025-09-30 19:35:53.014 +0000,2025-09-30 19:35:53.014 +0000,bookwise
Kait ,1322922,12399,Open Socrates: The Case for a Philosophical Life,Agnes Callard,want_to_read,2025-10-07 18:16:02.479 +0000,2025-10-07 18:16:02.479 +0000,bookwise
Kait ,1322922,13230,Heart the Lover,Lily King,finished,2025-10-09 04:15:20.410 +0000,2025-10-14 19:14:23.850 +0000,bookstore_ebook
Kait ,1322922,13251,All the Colors of the Dark: A Read with Jenna Pick,Chris Whitaker,deleted,2025-10-10 20:13:28.085 +0000,2025-10-14 19:14:20.518 +0000,bookwise
Kait ,1322922,17533,Hyperion,Dan Simmons,deleted,2025-10-18 19:44:29.238 +0000,2025-10-26 15:18:53.233 +0000,bookwise
Kait ,1322922,17534,Don't Let Him In,Lisa Jewell,deleted,2025-10-18 19:47:17.131 +0000,2025-10-26 15:18:45.716 +0000,bookwise
Kait ,1322922,17556,Monetizing Innovation,Madhavan Ramanujam + Georg Tacke,currently_reading,2025-10-20 16:06:05.334 +0000,2025-10-23 15:11:29.081 +0000,uploaded_ebook
Kait ,1322922,17559,Mistborn,Brandon Sanderson,want_to_read,2025-10-20 17:12:55.840 +0000,2025-10-20 17:12:55.840 +0000,bookstore_ebook
Kait ,1322922,17621,The Anxious Generation,Jonathan Haidt,want_to_read,2025-10-23 04:02:24.193 +0000,2025-10-23 04:02:24.194 +0000,uploaded_ebook
