Name,Profile ID,Book ID,Title,Author,Status,Created,Updated,Creation Origin
Tadek ,14708,3440,Chess Story,Stefan Zweig,finished,2025-07-11 21:13:03.565 +0000,2025-08-22 07:09:22.225 +0000,uploaded_ebook
Tadek ,14708,3441,Hitch-22,Christopher Hitchens,want_to_read,2025-07-11 21:13:03.602 +0000,2025-08-22 09:22:19.874 +0000,uploaded_ebook
Tadek ,14708,3442,Gabriel Garcia Marquez: The Last Interview,Gabriel García Márquez,want_to_read,2025-07-11 21:13:03.640 +0000,2025-08-22 09:22:17.840 +0000,uploaded_ebook
Tadek ,14708,3443,David Foster Wallace: The Last Interview,David Foster Wallace,want_to_read,2025-07-11 21:13:03.683 +0000,2025-07-11 21:13:03.683 +0000,uploaded_ebook
Tadek ,14708,3447,The Art of Noticing,Rob Walker,want_to_read,2025-07-11 21:13:03.837 +0000,2025-07-11 21:13:03.838 +0000,uploaded_ebook
Tadek ,14708,3456,Trying Not to Try,Edward Slingerland,want_to_read,2025-07-11 21:13:04.176 +0000,2025-08-22 09:22:13.355 +0000,uploaded_ebook
Tadek ,14708,3459,The Power of Attachment,Diane Poole Heller,did_not_finish,2025-07-11 21:13:04.291 +0000,2025-07-11 21:13:04.291 +0000,uploaded_ebook
Tadek ,14708,3461,Invention of Clouds,Richard Hamblyn,want_to_read,2025-07-11 21:13:04.369 +0000,2025-08-22 09:22:09.058 +0000,uploaded_ebook
Tadek ,14708,3462,Skin in the Game,Nassim Nicholas Taleb,finished,2025-07-11 21:13:04.405 +0000,2025-08-22 07:09:11.401 +0000,uploaded_ebook
Tadek ,14708,3463,"Influence, New and Expanded",Robert Cialdini,want_to_read,2025-07-11 21:13:04.444 +0000,2025-08-22 09:22:07.120 +0000,uploaded_ebook
Tadek ,14708,3464,Shape,Jordan Ellenberg,did_not_finish,2025-07-11 21:13:04.480 +0000,2025-07-11 21:13:04.480 +0000,uploaded_ebook
Tadek ,14708,3466,A Man for All Markets,Edward O Thorp,did_not_finish,2025-07-11 21:13:04.555 +0000,2025-07-11 21:13:04.555 +0000,uploaded_ebook
Tadek ,14708,3472,Breath,James Nestor,did_not_finish,2025-07-11 21:13:04.780 +0000,2025-07-11 21:13:04.780 +0000,uploaded_ebook
Tadek ,14708,3473,Art and Intimacy,Ellen Dissanayake,want_to_read,2025-07-11 21:13:04.815 +0000,2025-08-22 09:22:00.922 +0000,uploaded_ebook
Tadek ,14708,3474,What Is Art For?,Ellen Dissanayake,want_to_read,2025-07-11 21:13:04.855 +0000,2025-08-22 09:21:58.696 +0000,uploaded_ebook
Tadek ,14708,3475,Bluets,Maggie Nelson,want_to_read,2025-07-11 21:13:04.890 +0000,2025-07-11 21:13:04.890 +0000,uploaded_ebook
Tadek ,14708,3476,Anam Cara [Twenty-fifth Anniversary Edition],John O'Donohue,want_to_read,2025-07-11 21:13:04.926 +0000,2025-07-11 21:13:04.926 +0000,uploaded_ebook
Tadek ,14708,3477,"As It Is, Volume I",Tulku Urgyen Rinpoche,want_to_read,2025-07-11 21:13:04.961 +0000,2025-08-22 09:21:56.386 +0000,uploaded_ebook
Tadek ,14708,3478,"As It Is, Volume II",Tulku Urgyen Rinpoche,want_to_read,2025-07-11 21:13:05.000 +0000,2025-07-11 21:13:05.000 +0000,uploaded_ebook
Tadek ,14708,3480,Man's Supreme Inheritance,Frederick Alexander,want_to_read,2025-07-11 21:13:05.081 +0000,2025-08-22 09:21:52.266 +0000,uploaded_ebook
Tadek ,14708,3481,Consolations II,David Whyte,want_to_read,2025-07-11 21:13:05.120 +0000,2025-08-22 09:21:50.162 +0000,uploaded_ebook
Tadek ,14708,3484,How Proust Can Change Your Life,Alain de Botton,did_not_finish,2025-07-11 21:13:05.241 +0000,2025-07-11 21:13:05.241 +0000,uploaded_ebook
